Artist,Title,ISRC,Spotify ID,Deezer ID,Youtube ID
Janis Joplin,Me and Bobby McGee,USSM17000790,1IqFh00G2kvvMm8pRMpehA,1040945,sfjon-ZTqzU
Lynn Anderson,(I Never Promised You A) Rose Garden (false),SEWDL9879523,0sL0wMjwLoL8C02SSnTEjY,120598460,KXHsWBKKNbI
Carole King,It's Too Late,USSM17100509,12q3V8ShACq2PSWINMc2rC,94956330,VkKxmnrRVHo
Three Dog Night,Joy To The World,USMC17047804,1VZ04sZSpTet7wVMyZphA8,2510548,kyI1OImD7ow
George Harrison,My Sweet Lord,GB77R1400026,0qdQUeKVyevrbKhAo0ibxS,84791527,SP9wms6oEMo
Isaac Hayes,"Theme From ""Shaft""",USFI87100103,4aCn63qT3z7BmXHvDcOxSw,2191765,Q429AOpL_ds
Roberta Flack,The First Time Ever I Saw Your Face,USAT20107944,0SxFyA4FqmEQqZVuAlg8lf,14615239,VqW-eO3jTVU
Gilbert O'Sullivan,Alone Again (Naturally),GBEQJ0400002,4lHQCzdK3VdYQvQZnnRouG,143048960,8ELnhjGw4Zs
Don McLean,American Pie,USEM38600088,2QgWuCtBpNIpl5trmKCxRf,3156285,iX_TFkut1PM
Neil Diamond,Song Sung Blue,USUG11400705,57KfogSy3eKuk5JHLKwCJv,80092812,1cqy4bmYOBI
Michel Legrand,"The Summer Knows (From ""The Summer of '42"")",USA371653666,2g6htvVIAA9Ba5nphXiF62,16898441,ez26Y0cM1rM
Harry Nilsson,Without You,USRC17108362,7vqubB6rY1NpGVGpHYobbQ,2242378,G-ZDKirjQgM
Roberta Flack,Killing Me Softly with His Song,USAT29901394,3gsCAGsWr6pUm1Vy7CPPob,14615242,l2n167F0eBc
Charlie Rich,Behind Closed Doors (Album Version),USSM19928830,4NRFiS0pHjTFDjOm1LWTZj,853786,WHaLjPP4bok
Stevie Wonder,You Are The Sunshine Of My Life (Album Version),USMO17282852,0n2pjCIMKwHSXoYfEbYMfX,910212,SbenaOqv4yQ
Carly Simon,You're so Vain,USEE19900883,2DnJjbjNTV9Nd5NOa1KGba,688346,cleCtBP0o5Y
Dawn,Tie a Yellow Ribbon Round the Ole Oak Tree (Digitally Remastered 1998),USAR19800305,12UzVR0M7asW2MHAZRJk0I,861018,PxG9XFqHSFw
Jim Croce,"Bad, Bad Leroy Brown",GBAJE7100650,1O0xeZrBDbq7HPREdmYUYK,143039242,QvwDohEEQ1E
Barbra Streisand,The Way We Were,USSM10024187,1vZTgn4JXWMahR8r99ug5H,626294,BJjVlEG8WHM
Roberta Flack,Feel Like Makin' Love,USAT20001177,7gkboYtvhuXNS4EUwmFPcw,9803858,ySlLq9t2qgc
Olivia Newton-John,I Honestly Love You,USMC19701253,2kCIwSz0JoYQPrT4Ykr1MZ,96063476,bCcKg2asm9k
Maria Muldaur,Midnight at the Oasis,USRE10100264,63Nj3NsQkLQs2MKgWk1Di6,672669,3gKnnb24Eso
Helen Reddy,You And Me Against The World,USCA28700813,26WupilYCvGn1OEX2CqKjN,3127732,4sPgu3nGDrk
Elton John,Don't Let The Sun Go Down On Me,GBAMB9500047,11FcfHd3SOmmrWJPGe7Y30,1124119,QxuqWG-Hxgo
Joni Mitchell,Help Me,USEE10001275,0tVzXGFyNPusa1VkHmYDLd,675084,XOEE-kR-Txg
Judy Collins,Send in the Clowns,USEE17500004,3evTbfCtMxbUwTQIn7QOcG,754152,8L6KGuTr9TI
Janis Ian,At Seventeen (Remastered),GBARL1700749,1N0ChshCrLh8qqD3yWsg72,398706472,In76XE4N_9w
Morris Albert,Feelings,BREMI7700081,6OfAaE2skMyNtZtzhlpA5q,3329834,EbLBmru7BoM
Captain & Tennille,Love Will Keep Us Together,USAM17500299,4pCNJwixy2ImFncaPY2yE2,906612,0aU57V6VBW0
Glen Campbell,Rhinestone Cowboy,USCN18600038,0VwTeYNjcl30DyQlt3GPe0,3156144,zH24TOGX374
Barry Manilow,Mandy,USAR17400164,6iXQrhhgBisdfvS34EMTZ3,548250,aGfcD5qycQY
Eagles,Lyin' Eyes (2013 Remaster),USEE11300348,1MgDXY89MOoohMeaMoHaED,68094426,5-NlR54PqLw
Barry Manilow,I Write The Songs,USAR10700437,5VU6nvX3BqkqBmOJ2d9vhW,13166816,934QpLtK05s
Starland Vocal Band,Afternoon Delight,USRZR0491708,5Yq58BC5k14EVUJ63cmg8g,6259905,MFxHqdBRkmQ
Neil Sedaka,Breaking Up Is Hard to Do,USRC19901068,2x6pbpjVGjiWCcH89IK8AX,546837,2M584bP_FeE
George Benson,This Masquerade (Remastered Version),USWB10201611,7uhOlFq30tYkUZ70JwbRre,710688,qRK1thBLVbk
Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,USRE10901163,536L9C0N7vhYdibCJx3cI2,3822150,PH0K6ojmGZA
Paul Simon,50 Ways to Leave Your Lover,USSM11002304,6Qb7gtV6Q4MnUjSbkFcopl,6581143,ABXtWqmArUU
Chicago,If You Leave Me Now,USRH10285535,0KMGxYKeUzK9wc5DZCt3HT,3616306,h2ctzDAREDI
Barbra Streisand,"Evergreen (Love Theme from, ""A Star Is Born"")",USSM10001384,2IcqY68BxP1ONPi3ME6aje,626043,feXxH-oftuo
Debby Boone,You Light Up My Life,USCRB9900460,3dFR132gzO8jxD57R2gid3,75768228,AOShEUn0aA4
Crystal Gayle,Don't It Make My Brown Eyes Blue,USCN17700057,7Jpclr7tZ6aQXjoKzWXUJV,3123467,uAVsi_ieztE
Eagles,Hotel California (2013 Remaster),USEE11300353,40riOy7x9W7GXjyGp4pjAv,68097787,oW4sD12V4u8
Carly Simon,Nobody Does It Better,USMG27700012,49RUdNvwSiUTC8fBh4KKoC,3169698,uWWwKDttHnM
Glen Campbell,Southern Nights,USCN17600069,7kv7zBjMtVf0eIJle2VZxn,3232729,arFyd1A5-uM
Linda Ronstadt,Blue Bayou,USEA20100040,3zxklD2EGecZre9MjEEvIU,3919443,_qqvdOwoN-Y
Billy Joel,Just the Way You Are,USSM17700371,49MHCPzvMLXhRjDantBMVH,988630,HaA3YZ6QdJU
Bee Gees,"Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)",NLF057790034,79hJaqmVdohltPBNN6BULM,96931360,fNFzfwLM72c
Commodores,Three Times A Lady,USMO17800521,4kaBnHk9bo1x9NlxU4Q2hG,906611,3qTPVS1uiQ0
Neil Diamond,You Don't Bring Me Flowers,USUG11400770,7qmqeHzgNQTOnl1NUgRFO4,79835514,Z3yu2c-0_w4
Anne Murray,You Needed Me,CAE157800006,5d4E1hgkLyb7sXr5J3InnM,3131385,-X79Jko9bBI
Gerry Rafferty,Baker Street,GBAYE7800619,5gOd6zDC8vhlYjqbQdJVWP,3169189,Fo6aKnRnBxM
Chuck Mangione,Feels So Good,USAM17700535,2M7EflZCPCqqRLB9hy5MDy,2233749,rXPaEm-Y3Wg
The Doobie Brothers,What A Fool Believes,USWB10902441,2yBVeksU2EtrPJbTu4ZslK,3821913,exnHAdopRxA
"Earth, Wind & Fire",After The Love Has Gone,USSM19801712,3cfnGXJ9bmiWvFqEO6ff8B,6596823,CUCLNPOjPZw
Rickie Lee Jones,Chuck E's in Love (45 Version),USWB10808491,7jpebTuCDaKTKA1w1wtqGw,4118794,OeWKfVkNla4
Billy Joel,Honesty,USSM17800447,34E0Higz6fFVXlbVsn6TIW,548688,R4gOIt-M02A
Gloria Gaynor,I Will Survive,GBQRF1119471,5xdlnf7VOBlgoO6ckL4qSC,18235563,FHhZPp08s74
The Doobie Brothers,Minute By Minute,USWB10902442,37oLDb3119IdKSIFQmSGRj,3821914,Rq-7NgH-hcs
Peaches & Herb,Reunited (Album Version),USPR37807173,7gfh3jwjaSmGlB40uTMSeE,62990101,Bu3OQFCsKXQ
Kenny Rogers,She Believes In Me,USCN18700035,5ggOAMsJCAYDHnyoqJ0xAD,3108443,FE19WzuQ4J0
Kenny Rogers,The Gambler,USCN17800055,5KqldkCunQ2rWxruMEtGh0,3108438,7hx4gdlfamo
Christopher Cross,Sailing,USWB19901344,6Hu6dzwlvoyg3zBUC8k4BK,765424,IST-GfqUwDA
Irene Cara,Fame,USNLR1200531,7yBl8YmvcgwwYlazJcvowE,647797132,ynZCDm0IEVM
Bette Midler,The Rose,USAT29901582,562JrM9b7jiu8LgzV62x3o,3616253,FzJMIUhFw7Q
Kenny Rogers,Lady,USCN18000041,5kVkKUQQIMVySlDkGw5MvF,3155057,Pq96IgKLf_k
Frank Sinatra,"Theme From New York, New York",USRH10723042,4ODWgs1CVAZKDbryEodjiz,71483080,gHPiIfEoy2Y
Barbra Streisand,Woman in Love,USSM10006441,1pTGc8pwyo6xtgXBKCBcFn,1081096,hQLGCX8D-1Y
Kim Carnes,Bette Davis Eyes,USCA28100081,0odIT9B9BvOCnXfS0e4lB5,3153065,BJ1dHM1ocIw
Christopher Cross,Arthur's Theme (Best That You Can Do),USWB10800109,5fnOrhQ4KgT5irGCjIccGH,3872734,WOBHXxiZyZM
Lionel Richie,Endless Love,USMO18190008,6QxgfimsVDPepssZtFrseb,906584,Qr_XIALxgbI
"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),USEE19901162,1ko2lVN0vKGUl9zrU0qSlT,3085246,6POZlJAZsok
Dolly Parton,9 to 5,USRN19400384,4w3tQBXhn5345eUXDGBWZG,992937,E4OzdyxbOuU
John Lennon,(Just Like) Starting Over,USTO11000015,5y0YreEOnQiKFAnCrcFIXz,7163150,pZCxyOcvp5A
Willie Nelson,Always On My Mind,USSM18100410,2xYQTU2bbg6WVAmpY1eae4,861066,opwOBtgw-nw
Stevie Wonder,Ebony & Ivory (Album Version),USWWW0138280,2R8ncHgg85dC4n54HFpxS6,99407270,ycRnO-nECNw
Toto,Rosanna,USSM18200245,37BTh5g05cxBIRYMbw8g2T,1079628,K2O9ryz7Eik
Survivor,Eye of the Tiger,USVR19600010,2KH16WveTQWT6KOG9Rg6e2,576431,FLZS3jQPnKw
Donald Fagen,I.G.Y.,USWB18200007,6bzwsAtj4TqaBysLDrGiO3,3858836,sogYgHlNnqo
Joe Jackson,Steppin' Out,GBAAM8200001,0tBTnrMcc91qKP9dHqhsS7,876934,PJwt2dxx9yg
Vangelis,Chariots Of Fire,NLF058190002,3hBgVOpgET0AGtdwc5D8Qy,2521398,8a-HfNE3EIo
The Police,Every Breath You Take,GBAAM0201110,5C0LFQARavkPpn7JgA4sLk,1177883,OMOGaugKpzs
Lionel Richie,All Night Long (All Night),USMO18390005,4czNORk5MjW5WOn98bki32,906588,5sBGUyUnqwM
Michael Jackson,Beat It (Single Version),USSM19902990,1OOtq8tRnDM8kG2gqUPjAj,555640,XDD9LpLyGiQ
Michael Jackson,Billie Jean,USSM19902991,5ChkMS8OtdzJeqyybCc9R5,555641,2Ss38PCpwtA
Michael Sembello,Maniac,USPR38302462,0QKfiqpEU4h9ycPSzIFwYe,1166978,6GCNUeTFSbA
Irene Cara,Flashdance...What a Feeling (Radio Edit),CAU118300354,3cbV252akVZInSvJk7jAYX,62419007,ILWSp0m9G2U
Tina Turner,What's Love Got to Do with It,USCA28400002,6FcQD1qOpqV8NdhY45sKyI,3120266,Mh3h9DNHNOM
Phil Collins,Against All Odds (Take a Look at Me Now) (2016 Remaster),USRH11603367,63CHa6rmamv9OsehkRD8oz,134036230,CkGg1bzfSys
Lionel Richie,Hello,USMO18390012,6HMvJcdw6qLsyV1b5x29sa,918048,84RxK4N1wfE
