Year,Artist,Track,USA,NON USA,Nom,Win,Youtube,M,F,D,I,Alternative rock,Big Band,Blues,Blues rock,Breakbeat,Chanson française,Church music,Classical,Concerto,Country,Country rock,Dance Pop,Disco,Dubstep,Easy Listening,EDM,Electronica,Electro Pop,Folk,Funk,Gospel,Hard rock,Hip Hop,Indie rock,Jazz,Latin Pop,Metal,New Wave,Pop,Pop Rock,R&B Nu Soul,Reggae,Reggaeton,Rock,Rock N Roll,Rock New Wave,Salsa - Afro Cuban,Samba Bossa,Soul,Soul Jazz,Speech,Swing,Traditional pop,Vocal jazz,World,,,,,,
1966,Connie Francis,I Will Wait for You,1,,x,,https://www.youtube.com/watch?v=Mi57d50pCUw,,1,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
1966,Frank Sinatra,The September of My Years,1,,x,,https://www.youtube.com/watch?v=oD87obuUgUk,1,,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
1966,The Beatles,Yesterday,,1,x,,https://www.youtube.com/watch?v=fCV9oqtwyVA,1,,,,,,,,,,,"0,5",,,,,,,,,,,"0,8",,,,,,,,,,1,,,,,,,,,,,,,,"0,4",,,,,,,,
1966,Roger Miller,King of the Road,1,,x,,https://www.youtube.com/watch?v=7HBQFjoqDYE,1,,,,,,,,,,,,,"0,9",,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,,,,,"0,4",,,,,,,,
1966,Herb Alpert and the Tijuana Brass,A Taste of Honey,1,,,x,https://www.youtube.com/watch?v=eFEqhlGWVXk,,,,1,,"0,4",,,,,,,,,,,,,"0,8",,,,,,,,,,"0,5","0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1966,The Ramsey Lewis Trio,The 'In' Crowd,1,,x,,https://www.youtube.com/watch?v=--3tyzPT7XA,,,,1,,,,,,,,,,,,,,,"0,3",,,,,,,,,,"0,8",,,,,,,,,,,,,,,1,,"0,4",,,,,,,,,
1967,The Beatles,Michelle,,1,,x,https://www.youtube.com/watch?v=WoBLi5eE-wY,1,,,,,,,,,,,,,,,,,,,,,,"0,7",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1967,Andy Williams,Born Free,1,,x,,https://www.youtube.com/watch?v=RZHaQ3C3xQo,1,,,,,"0,4",,,,,,"0,4","0,4",,,,,,"0,4",,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,,1,"0,6",,,,,,,
1967,Richard Kiley,The Impossible Dream,1,,x,,https://www.youtube.com/watch?v=ViBxOEegiuU,1,,,,,,,,,,,"0,4","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1967,Ray Conniff,"Somewhere, My Love",1,,x,,https://www.youtube.com/watch?v=1thos17eJ0c,,,1,,,,,,,,,,,,,,,,"0,4",,,,"0,4",,,,,,,,,,"0,8",,,,,,,,,,,,,,1,,,,,,,,
1967,Frank Sinatra,Strangers in the Night,1,,x,,https://www.youtube.com/watch?v=h5h_EW4odWw,1,,,,,"0,4",,,,,,"0,4","0,5",,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,1,1,,,,,,,
1967,David Houston,Almost Persuaded ,1,,x,,https://www.youtube.com/watch?v=RHpBMOrgvco,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,,,,,,,"0,6",,,,,,,,
1967,The Mamas & the Papas,"Monday, Monday ",1,,x,,https://www.youtube.com/watch?v=gf6X_OZiOwk,,,1,,,,,,,,,,,,,,,,,,,,"0,8",,"0,2",,,,,,,,1,"0,3",,,,,,,,,,,,,,,,,,,,,
1967,Herb Alpert and the Tijuana Brass,What Now My Love ,1,,x,,https://www.youtube.com/watch?v=dKh-oGdBkAc,,,,1,,"0,4",,,,,,,,,,,,,"0,8",,,,,,,,,,"0,5","0,4",,,,,,,,,,,,"0,4",,,,,,,,,,,,,
1967,The New Vaudeville Band,Winchester Cathedral ,1,,x,,https://www.youtube.com/watch?v=HKaSWDJyTLE,1,,,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,,1,"0,3",,,,,,,,,,,,,,,,,,,,,
1968,The 5th Dimension,"Up, Up, and Away",1,,,x,https://www.youtube.com/watch?v=2qdCuzjAGmA,,,1,,,"0,8",,,,,,,,,,,,,"0,3",,,,,,,,,,"0,4",,,,"0,5",,,,,,,,,,,"0,7",,,"0,4","0,7",,,,,,,
1968,Glen Campbell,By the Time I Get to Phoenix,1,,x,,https://www.youtube.com/watch?v=7y1hrOpVGKE,1,,,,,,,,,,,"0,3","0,3","0,4",,,,,"0,4",,,,"0,4",,,,,,,,,,"0,7",,,,,,,,,,,,,,1,,,,,,,,
1968,Ed Ames,My Cup Runneth Over,1,,x,,https://www.youtube.com/watch?v=xvaQisHV8jw,1,,,,,,,,,,,"0,4","0,4",,,,,,"0,4",,,,,,"0,4",,,,,,,,"0,6",,,,,,,,,,,,,,1,,,,,,,,
1968,Bobbie Gentry,Ode to Billie Joe,1,,x,,https://www.youtube.com/watch?v=-_E3UIeZUCs,,1,,,,,,,,,,"0,3","0,3",,,,,,,,,,"0,8",,,,,,,,,,"0,6",,,,,,,,,,"0,7",,,,,,,,,,,,
1968,Glen Campbell,Gentle on My Mind,1,,x,,https://www.youtube.com/watch?v=mfMnNqn-hKg,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,"0,7",,,,,,,,,,,,,,,,,,,,,,
1968,Nancy Sinatra & Frank Sinatra,Somethin' Stupid,1,,,,https://www.youtube.com/watch?v=0f48fpoSEPU,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,,,,,1,"0,31",,,,,,,
1969,O.C. Smith,Little Green Apples ,1,,,x,https://www.youtube.com/watch?v=B6UJOb4oVfU,,,1,,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,"0,3",,,"0,6",,,,,,,,
1969,Jeannie C. Riley,Harper Valley PTA,1,,x,,https://www.youtube.com/watch?v=EHhDtwSZWYs,,1,,,,,,,,,,,,1,,,,,,,,,"0,7",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1969,The Beatles,Hey Jude,,1,x,,https://www.youtube.com/watch?v=bkApuQWCPdM,1,,,,,,,"0,5",,,,,,,,,,,,,,,,,"0,5",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
