,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
176,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
177,5PTesaKTwx7W2DJ2MAqfBZ,0.502,0.371,9,-12.323,1,0.0278,0.638,0.00159,0.159,0.425,135.499,186317
178,3BBCg3SEvTXZJ5gErXosuw,0.341,0.73,11,-13.221,1,0.0467,0.0256,2.49e-06,0.0783,0.752,130.076,222440
179,3hwbwZ3GyFlWa71nbxXlgk,0.652,0.634,9,-9.677,1,0.0271,0.0197,6.85e-06,0.117,0.587,122.004,212933
180,6E6uwOhAEHSzSvDewOBEvF,0.389,0.84,6,-10.015,0,0.0442,0.0393,0.00155,0.085,0.493,176.589,262827
181,5c6wm4gmI1bENw6H8PwODq,0.635,0.748,10,-8.46,1,0.0344,0.728,4.61e-06,0.0765,0.908,100.539,138307
182,0dEQaNYfp5G7Sflek2Qnde,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106,202013
183,7DOtIhTTpPZyjvbO509hSC,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,280973
184,0Q7eey8NSPQEQ3ol75UAAx,0.561,0.142,8,-18.972,1,0.0433,0.678,0.00631,0.226,0.293,94.454,166973
185,0EDDzuxDc8oBkXV4X372Az,0.492,0.32,4,-12.52,1,0.0368,0.711,0.0,0.0891,0.432,113.17,149397
186,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
187,78zYiMv9yNTHgmm6kaUPCm,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821,174400
188,0FBeVAGy58YREuZK2rpRVm,0.94,0.727,1,-9.982,1,0.0358,0.124,0.00021,0.0808,0.969,110.796,296467
189,29wJiSQcze8HEmxkUQykyp,0.457,0.487,7,-7.112,1,0.0266,0.113,2.37e-06,0.358,0.139,136.596,272133
190,1O7hDH3rrF8eyLxrpeoOfb,0.71,0.845,4,-3.927,0,0.0888,0.0445,1.18e-05,0.0672,0.802,92.957,262373
191,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
192,0Kb1OykZK7OYNqQ58KZ0rj,0.645,0.6,0,-7.948,1,0.238,0.0661,0.0,0.101,0.701,135.593,143133
193,1QdrUOQkbXJbpNqOKgJpq5,0.783,0.596,7,-10.056,1,0.0676,0.235,0.0,0.0427,0.88,127.576,182370
194,1E2iehquphUsbmj8VTzWdQ,0.331,0.833,7,-6.204,1,0.0408,0.0115,0.0,0.209,0.527,72.369,244960
195,1A2PWRltFrX8iB8IP3CUgo,0.612,0.6,9,-10.945,1,0.0327,0.15,3.04e-06,0.222,0.471,111.203,251800
196,2sYLlZU3FuCF8SKNeIvdKA,0.777,0.834,1,-10.851,1,0.0574,0.0209,0.0976,0.0446,0.967,120.332,272493
197,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
198,6JNJERZGJwDVgkmbohBw7u,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00386,0.155,0.779,106.68,246440
199,6swYF7jDeiVr5p0n0gaY7I,0.731,0.808,7,-7.633,1,0.037,0.0126,0.378,0.12,0.806,126.315,218529
200,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
201,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
202,78FHUZRbFDCG6VkRAQdFLm,0.286,0.5,1,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,343933
203,77oU2rjC5XbjQfNe3bD6so,0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,265173
204,1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533
205,3AMFDhgJx5sIYw1ukbiEk4,0.314,0.544,0,-9.419,1,0.0288,0.052,0.00712,0.979,0.361,106.597,834867
206,7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,229867
