Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Carroll O'Connor And Jean Stapleton (As The Bunkers),['Those Were The Days'],1,9,1971,1972,2,2,0,0,0,False
Blueface,['Thotiana'],1,20,2019,2019,1,1,0,0,2,False
Nicki Minaj Featuring The Weeknd,['Thought I Knew You'],1,1,2018,2018,1,1,0,0,0,True
Roy Drusky,['Three Hearts In A Tangle'],1,16,1961,1961,1,1,0,0,0,False
Green Jelly,['Three Little Pigs'],1,20,1993,1993,1,1,0,0,0,False
Ruby Wright,['Three Stars'],1,1,1959,1959,1,1,0,0,0,False
Tommy Dee with Carol Kay and the Teen-Aires,['Three Stars'],1,12,1959,1959,1,1,0,0,0,False
Macklemore & Ryan Lewis Featuring Wanz,['Thrift Shop'],1,49,2012,2013,2,2,6,17,21,True
DragonForce,['Through The Fire And Flames'],1,5,2008,2008,1,1,0,0,0,False
Tanya Blount,['Through The Rain'],1,6,1994,1994,1,1,0,0,0,False
Aretha Franklin & Elton John,['Through The Storm'],1,11,1989,1989,1,1,0,0,0,False
Fabolous Featuring The-Dream,['Throw It In The Bag'],1,23,2009,2009,1,1,0,0,0,True
Rich Boy Featuring Polow Da Don,"[""Throw Some D's""]",1,21,2006,2007,2,2,0,0,2,True
Rae Sremmurd Featuring Nicki Minaj & Young Thug,['Throw Sum Mo'],1,20,2015,2015,1,1,0,0,0,True
Slaughterhouse Featuring Eminem,['Throw That'],1,1,2012,2012,1,1,0,0,0,True
L.V.,['Throw Your Hands Up'],1,16,1995,1996,2,2,0,0,0,False
Trick Daddy Featuring LaTocha Scott,['Thug Holiday'],1,9,2002,2003,2,2,0,0,0,True
Ja Rule Featuring Bobby Brown,"[""Thug Lovin'""]",1,10,2002,2003,2,2,0,0,0,True
2Pac Featuring Nate Dogg,['Thugs Get Lonely Too'],1,4,2005,2005,1,1,0,0,0,True
Chi Coltrane,['Thunder And Lightning'],1,13,1972,1972,1,1,0,0,0,False
Imagine Dragons + Khalid,['Thunder/Young Dumb & Broke (Medley)'],1,1,2018,2018,1,1,0,0,0,False
"Labrinth, Sia & Diplo Present... LSD",['Thunderclouds'],1,5,2018,2018,1,1,0,0,0,False
The Game Featuring Jeremih,['All Eyez'],1,5,2016,2016,1,1,0,0,0,True
The Veronicas,['Take Me On The Floor' 'Untouched'],2,22,2008,2009,2,2,0,0,0,False
Dean & Marc,['Tell Him No'],1,8,1959,1959,1,1,0,0,0,False
Yvonne Baker and the Sensations,"[""That's My Desire""]",1,6,1962,1962,1,1,0,0,0,False
China Anne McClain,"['Calling All The Monsters' ""What's My Name""]",2,5,2011,2017,2,7,0,0,0,False
John Dawson Read,['A Friend Of Mine Is Going Blind'],1,4,1975,1975,1,1,0,0,0,False
Sir Chauncey and his exciting strings,['Beautiful Obsession'],1,4,1960,1960,1,1,0,0,0,False
Reparata,['Shoes'],1,3,1975,1975,1,1,0,0,0,False
Natti Natasha x Ozuna,['Criminal'],1,3,2017,2018,2,2,0,0,0,False
Jill Corey,['Big Daddy'],1,2,1958,1958,1,1,0,0,0,False
The Black Eyed Peas X J Balvin,['RITMO (Bad Boys For Life)'],1,4,2019,2019,1,1,0,0,0,False
Plies,['Rock'],1,5,2018,2018,1,1,0,0,0,False
The Mar-Keys,['Philly Dog'],1,5,1966,1966,1,1,0,0,0,False
Lou Donaldson,['Alligator Bogaloo'],1,4,1967,1967,1,1,0,0,0,False
Edens Edge,['Amen'],1,6,2011,2012,2,2,0,0,0,False
Maureen Gray,"[""Dancin' The Strand""]",1,3,1962,1962,1,1,0,0,0,False
The Singing Belles,"['Someone Loves You, Joe']",1,3,1960,1960,1,1,0,0,0,False
Cee-Lo,['Closet Freak'],1,3,2002,2002,1,1,0,0,0,False
Elton Anderson With Sid Lawrence Combo,['Secret Of Love'],1,4,1960,1960,1,1,0,0,0,False
Flavor,['Sally Had A Party'],1,5,1968,1968,1,1,0,0,0,False
Diggy Featuring Jeremih,['Do It Like You'],1,8,2012,2012,1,1,0,0,0,True
Rihanna Featuring Slash,['Rockstar 101'],1,5,2010,2010,1,1,0,0,0,True
Fantasy,['Stoned Cowboy'],1,11,1970,1970,1,1,0,0,0,False
"Karl Hammel, Jr.",['Summer Souvenirs'],1,8,1961,1961,1,1,0,0,0,False
Bob Braun,['Till Death Do Us Part'],1,10,1962,1962,1,1,0,0,0,False
Barbra Streisand & Don Johnson,['Till I Loved You'],1,12,1988,1989,2,2,0,0,0,False
Tinie Tempah Featuring Wiz Khalifa,"[""Till I'm Gone""]",1,4,2011,2011,1,1,0,0,0,True
Britney Spears Featuring Nicki Minaj & KeSha,['Till The World Ends'],1,24,2011,2011,1,1,0,1,9,True
The Classics,['Till Then'],1,9,1963,1963,1,1,0,0,0,False
Nelly & Christina Aguilera,['Tilt Ya Head Back'],1,6,2004,2004,1,1,0,0,0,False
Pitbull Featuring KeSha,['Timber'],1,39,2013,2014,2,2,3,10,17,True
Buddy Greco,['Mr. Lonely'],1,11,1962,1962,1,1,0,0,0,False
Dean Christie,['Heart Breaker'],1,4,1962,1962,1,1,0,0,0,False
Ray Anthony,['Let Me Entertain You' 'Worried Mind'],2,10,1962,1963,2,2,0,0,0,False
"""Pookie"" Hudson",['I Know I Know'],1,1,1963,1963,1,1,0,0,0,False
Bob B. Soxx And The Blue Jeans,"['Not Too Young To Get Married' ""Why Do Lovers Break Each Other's Heart?""
 'Zip-A-Dee Doo-Dah']",3,28,1962,1963,2,2,0,0,3,False
Andrea Carroll,['It Hurts To Be Sixteen'],1,9,1963,1963,1,1,0,0,0,False
The Spats Featuring Dick Johnson,['Gator Tails And Monkey Ribs'],1,1,1964,1964,1,1,0,0,0,True
Del Reeves,['Girl On The Billboard'],1,1,1965,1965,1,1,0,0,0,False
The Castaways,"['Liar, Liar']",1,14,1965,1965,1,1,0,0,0,False
Just Us,"[""I Can't Grow Peaches On A Cherry Tree""]",1,11,1966,1966,1,1,0,0,0,False
Nancy Ames,['He Wore The Green Beret' 'Cry Softly'],2,7,1966,1966,1,1,0,0,0,False
Cab Calloway,['History Repeats Itself'],1,3,1966,1966,1,1,0,0,0,False
The Trolls,['Every Day And Every Night'],1,1,1966,1966,1,1,0,0,0,False
Johnny Thunder & Ruby Winters,['Make Love To Me'],1,1,1967,1967,1,1,0,0,0,False
David Houston & Tammy Wynette,['My Elusive Dreams'],1,5,1967,1967,1,1,0,0,0,False
The Blades Of Grass,['Happy'],1,4,1967,1967,1,1,0,0,0,False
Jean & The Darlings,['How Can You Mistreat The One You Love'],1,1,1967,1967,1,1,0,0,0,False
Pretty Purdie,['Funky Donkey'],1,3,1967,1967,1,1,0,0,0,False
People,['I Love You'],1,18,1968,1968,1,1,0,0,0,False
Jerry Jeff Walker,['Mr. Bojangles' 'L.a. Freeway'],2,8,1968,1973,2,6,0,0,0,False
Rejoice!,['Golden Gate Park'],1,1,1968,1968,1,1,0,0,0,False
Desmond Dekker & The Aces,['Israelites'],1,10,1969,1969,1,1,0,0,1,False
Vik Venus Alias: Your Main Moon Man,['Moonflight'],1,10,1969,1969,1,1,0,0,0,False
Mavis Staples,['I Have Learned To Do Without You'],1,4,1970,1970,1,1,0,0,0,False
Alive 'N Kickin',['Just Let It Come'],1,5,1970,1970,1,1,0,0,0,False
The Osmond Brothers,"[""I Can't Stop""]",1,1,1971,1971,1,1,0,0,0,False
Richie Havens,['Here Comes The Sun'],1,14,1971,1971,1,1,0,0,0,False
Matthews' Southern Comfort,"['Mare, Take Me Home' 'Tell Me Why' 'Woodstock']",3,20,1971,1971,1,1,0,0,0,False
The Poppy Family,['No Good To Cry' 'I Was Wondering' 'Where Evil Grows'],3,18,1971,1972,2,2,0,0,0,False
Lunar Funk,['Mr. Penguin-Pt. I'],1,8,1972,1972,1,1,0,0,0,False
The Ebonys,"[""It's Forever"" ""You're The Reason Why""]",2,13,1971,1973,2,3,0,0,0,False
Melba Montgomery,['No Charge'],1,10,1974,1974,1,1,0,0,0,False
David Bellamy,"[""Nothin' Heavy""]",1,6,1975,1975,1,1,0,0,0,False
Stallion,"[""Old Fashioned Boy (You're The One)""]",1,9,1977,1977,1,1,0,0,0,False
Eruption,"[""I Can't Stand The Rain""]",1,22,1978,1978,1,1,0,0,0,False
Space,['My Love Is Music'],1,7,1979,1979,1,1,0,0,0,False
Tim Curry,['I Do The Rock'],1,3,1979,1979,1,1,0,0,0,False
Dave Stewart and Barbara Gaskin,"[""It's My Party""]",1,8,1981,1982,2,2,0,0,0,False
Graham Parker,['Life Gets Better'],1,2,1983,1983,1,1,0,0,0,False
Nick Lowe And His Cowboy Outfit,['I Knew The Bride (When She Use To Rock And Roll)'],1,9,1985,1986,2,2,0,0,0,False
The Del Fuegos,['I Still Want You'],1,4,1986,1986,1,1,0,0,0,False
Jeff Lorber & Karyn White,['Facts Of Love'],1,16,1986,1987,2,2,0,0,0,False
The Gregg Allman Band,"[""I'm No Angel""]",1,10,1987,1987,1,1,0,0,0,False
Restless Heart,"[""I'll Still Be Loving You"" 'When She Cries']",2,38,1987,1993,3,7,0,0,0,False
Agnetha Faltskog/Peter Cetera,"[""I Wasn't The One (Who Said Goodbye)""]",1,3,1988,1988,1,1,0,0,0,False
Stage Dolls,['Love Cries'],1,13,1989,1989,1,1,0,0,0,False
Texas,"[""I Don't Want A Lover""]",1,6,1989,1989,1,1,0,0,0,False
Shana,"['I Want You' ""You Can't Get Away""]",2,28,1989,1990,2,2,0,0,0,False
Lil Louis,['French Kiss'],1,13,1989,1990,2,2,0,0,0,False
Diving For Pearls,"[""Gimme Your Good Lovin'""]",1,6,1989,1990,2,2,0,0,0,False
Tiana,['First True Love'],1,12,1990,1990,1,1,0,0,0,False
Sydney Youngblood,"[""I'd Rather Go Blind""]",1,11,1990,1990,1,1,0,0,0,False
Lonnie Gordon,"['Gonna Catch You (From ""Cool As Ice"")' ""Happenin' All Over Again""]",2,8,1991,1993,2,3,0,0,0,False
BeBe & CeCe Winans Featuring Mavis Staples,"[""I'll Take You There""]",1,6,1992,1992,1,1,0,0,0,True
Geoffrey Williams,"[""It's Not A Love Thing""]",1,9,1992,1992,1,1,0,0,0,False
Bobby Ross Avila,['La La Love'],1,3,1993,1993,1,1,0,0,0,False
Tene Williams,['Give Him A Love He Can Feel'],1,7,1993,1993,1,1,0,0,0,False
M.C. Breed,['Gotta Get Mine'],1,2,1993,1993,1,1,0,0,0,False
Mista Grimm,"['Indo Smoke (From ""Poetic Justice"")']",1,20,1993,1994,2,2,0,0,0,False
Darden Smith,['Loving Arms'],1,2,1993,1993,1,1,0,0,0,False
Danzig,['Mother'],1,15,1994,1994,1,1,0,0,0,False
Shyheim,['On And On'],1,6,1994,1994,1,1,0,0,0,False
Da Youngsta's,['Hip Hop Ride'],1,9,1994,1994,1,1,0,0,0,False
Amy Grant With Vince Gill,['House Of Love'],1,21,1994,1995,2,2,0,0,0,False
Skee-Lo,['I Wish'],1,27,1995,1995,1,1,0,0,0,False
"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",['Freak Me Baby'],1,18,1995,1995,1,1,0,0,0,False
Subway,['Fire'],1,4,1995,1995,1,1,0,0,0,False
Jann Arden,"['Insensitive (From ""Bed Of Roses"")']",1,40,1996,1996,1,1,0,0,0,False
Southsyde B.O.I.Z.,"[""Get Ready, Here It Comes (It's The Choo-Choo)""]",1,2,1996,1996,1,1,0,0,0,False
Luscious Jackson,['Naked Eye'],1,26,1996,1997,2,2,0,0,0,False
Big Punisher Featuring Donell Jones,"[""It's So Hard""]",1,15,2000,2000,1,1,0,0,0,True
Memphis Bleek Featuring Jay-Z & Missy Elliott,['Is That Your Chick'],1,13,2000,2001,2,2,0,0,0,True
Azul Azul,['La Bomba'],1,20,2001,2001,1,1,0,0,0,False
Corey Featuring Lil' Romeo,"[""Hush Lil' Lady""]",1,13,2002,2002,1,1,0,0,0,True
Tanto Metro & Devonte,['Give It To Her' 'Everyone Falls In Love'],2,36,1999,2002,2,4,0,0,0,False
Clipse Featuring Faith Evans,"[""Ma, I Don't Love Her""]",1,6,2003,2003,1,1,0,0,0,True
Reina,"[""No One's Gonna Change You""]",1,5,2003,2003,1,1,0,0,0,False
Smokie Norful,['I Need You Now'],1,3,2003,2003,1,1,0,0,0,False
Kem,"[""I Can't Stop Loving You""]",1,14,2005,2005,1,1,0,0,0,False
Santana Featuring Michelle Branch & The Wreckers,"[""I'm Feeling You""]",1,8,2005,2005,1,1,0,0,0,True
Shawnna,"[""Gettin' Some""]",1,19,2006,2006,1,1,0,0,0,False
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,['I Know You See It'],1,20,2006,2006,1,1,0,0,0,True
Ludacris Featuring Pharrell,['Money Maker'],1,25,2006,2007,2,2,2,8,11,True
Jibbs Featuring Chamillionaire,['King Kong'],1,13,2007,2007,1,1,0,0,0,True
Kelly Rowland Featuring Eve,['Like This'],1,20,2007,2007,1,1,0,0,0,True
Fabolous Featuring Ne-Yo,['Make Me Better'],1,21,2007,2007,1,1,0,0,8,True
Paula DeAnda Featuring Bow Wow,['Easy'],1,11,2007,2007,1,1,0,0,0,True
Plies Featuring Akon,['Hypnotized'],1,23,2007,2008,2,2,0,0,0,True
Ashlee Simpson With Tom Higgenson,['Little Miss Obsessive'],1,1,2008,2008,1,1,0,0,0,False
Kanye West Featuring Chris Martin,['Homecoming'],1,7,2008,2008,1,1,0,0,0,True
John Legend Featuring Andre 3000,['Green Light'],1,26,2008,2009,2,2,0,0,0,True
Ciara Featuring Young Jeezy,['Never Ever'],1,15,2009,2009,1,1,0,0,0,True
The Pussycat Dolls Featuring Nicole Scherzinger,['Hush Hush'],1,9,2009,2009,1,1,0,0,0,True
R. Kelly Featuring Keri Hilson,['Number One'],1,11,2009,2009,1,1,0,0,0,True
Gyptian,['Hold You (Hold Yuh)'],1,15,2010,2010,1,1,0,0,0,False
Cee Lo Green,['F**k You! (Forget You)'],1,48,2010,2011,2,2,0,9,12,False
Sunny Sweeney,['From A Table Away'],1,12,2011,2011,1,1,0,0,0,False
Kirko Bangz,['Drank In My Cup'],1,22,2012,2012,1,1,0,0,0,False
Gotye,['Eyes Wide Open'],1,1,2012,2012,1,1,0,0,0,False
Rita Ora,['How We Do (Party)' 'I Will Never Let You Down'],2,15,2012,2014,2,3,0,0,0,False
Lil Wayne Featuring Detail,['No Worries'],1,22,2012,2013,2,2,0,0,0,True
Olly Murs Featuring Chiddy Bang,['Heart Skips A Beat'],1,2,2012,2012,1,1,0,0,0,True
"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard","[""Feelin' Myself""]",1,2,2014,2014,1,1,0,0,0,True
B.o.B Featuring Trey Songz,['Not For Long'],1,9,2015,2015,1,1,0,0,0,True
Canaan Smith,['Love You Like That'],1,20,2015,2015,1,1,0,0,0,False
Rich Homie Quan,['Flex (Ooh Ooh Ooh)' 'Type Of Way'],2,47,2013,2015,2,3,0,0,0,False
Tech N9Ne Featuring 2 Chainz & B.o.B,['Hood Go Crazy'],1,7,2015,2015,1,1,0,0,0,True
Elle King,"[""Ex's & Oh's""]",1,38,2015,2016,2,2,0,0,1,False
Rudimental Featuring Ed Sheeran,['Lay It All On Me'],1,16,2015,2016,2,2,0,0,0,True
Kiiara,['Gold'],1,27,2016,2016,1,1,0,0,0,False
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",['Heatstroke'],1,1,2017,2017,1,1,0,0,0,True
Lauv,['I Like Me Better'],1,41,2018,2018,1,1,0,0,0,False
Iggy Azalea Feauring Tyga,['Kream'],1,1,2018,2018,1,1,0,0,0,False
Silk City x Dua Lipa,['Electricity'],1,10,2018,2019,2,2,0,0,0,False
Flipp Dinero,['Leave Me Alone'],1,25,2018,2019,2,2,0,0,0,False
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,"[""I've Been Waiting""]",1,9,2019,2019,1,1,0,0,0,True
P!nk Featuring Chris Stapleton,['Love Me Anyway'],1,1,2019,2019,1,1,0,0,0,True
"DJ Snake, J. Balvin & Tyga",['Loco Contigo'],1,1,2019,2019,1,1,0,0,0,False
Robert & Johnny,['I Believe In You'],1,2,1958,1958,1,1,0,0,0,False
The Gaylords,"['Ma Ma Ma Marie' ""Flamingo L'Amore""]",2,2,1958,1958,1,1,0,0,0,False
Charlie Blackwell,['Midnight Oil'],1,9,1959,1959,1,1,0,0,0,False
Tommy Facenda,['High School U.S.A.'],1,13,1959,1960,2,2,0,0,0,False
The Mark II,['Night Theme'],1,7,1960,1960,1,1,0,0,0,False
Johnny Cash With The Gene Lowery Singers,['Oh Lonesome Me'],1,2,1960,1961,2,2,0,0,0,False
Frankie Calen,['Joanie'],1,6,1961,1961,1,1,0,0,0,False
Ann-Margret,"[""I Just Don't Understand"" 'It Do Me So Good' 'What Am I Supposed To Do']",3,20,1961,1962,2,2,0,0,0,False
Dukays,['Nite Owl'],1,6,1962,1962,1,1,0,0,0,False
Pearlettes,['Duchess Of Earl'],1,2,1962,1962,1,1,0,0,0,False
The Volume's,['I Love You'],1,12,1962,1962,1,1,0,0,0,False
The Valentinos (The Lovers),"[""I'll Make It Alright""]",1,2,1963,1963,1,1,0,0,0,False
The Four Pennies,"['My Block' ""When The Boy's Happy (The Girl's Happy Too)""]",2,6,1963,1963,1,1,0,0,0,False
Joe Perkins,['Little Eeefin Annie'],1,5,1963,1963,1,1,0,0,0,False
Donna Lynn,['My Boyfriend Got A Beatle Haircut'],1,4,1964,1964,1,1,0,0,0,False
B.B. King And His Orchestra,['How Blue Can You Get'],1,2,1964,1964,1,1,0,0,0,False
The Bermudas,['Donnie'],1,10,1964,1964,1,1,0,0,0,False
Round Robin,['Kick That Little Foot Sally Ann'],1,8,1964,1964,1,1,0,0,0,False
Adam Faith With The Roulettes,"[""It's Alright""]",1,8,1965,1965,1,1,0,0,0,False
Jan Bradley,"[""I'm Over You"" ""Mama Didn't Lie""]",2,17,1963,1965,2,3,0,0,0,False
Georgie Fame And The Blue Flames,"['In The Meantime' 'Get Away' 'Yeh, Yeh']",3,17,1965,1966,2,2,0,0,0,False
The Ron-Dels,"[""If You Really Want Me To, I'll Go""]",1,1,1965,1965,1,1,0,0,0,False
San Remo Golden Strings,['Hungry For Love'],1,10,1965,1965,1,1,0,0,0,False
The Van Dykes,['No Man Is An Island' 'The Bells Are Ringing'],2,4,1961,1966,2,6,0,0,0,False
Swingin' Medallions,"[""Double Shot (Of My Baby's Love)""]",1,13,1966,1966,1,1,0,0,0,False
Terry Knight and The Pack,['I (Who Have Nothing)'],1,10,1966,1967,2,2,0,0,0,False
The Glories,['I Stand Accused (Of Loving You)'],1,5,1967,1967,1,1,0,0,0,False
Ricardo Ray,['Nitty Gritty'],1,3,1968,1968,1,1,0,0,0,False
Leapy Lee,['Little Arrows'],1,14,1968,1969,2,2,0,0,0,False
Earth Opera,['Home To You'],1,1,1969,1969,1,1,0,0,0,False
Daybreak,['Good Morning Freedom'],1,3,1970,1970,1,1,0,0,0,False
Johnnie Taylor (The Soul Philosopher),"[""Hijackin' Love"" 'Standing In For Jody']",2,13,1971,1972,2,2,0,0,0,False
Springwell,"[""It's For You""]",1,10,1971,1971,1,1,0,0,0,False
Independents,"['Just As Long As You Need Me, Part I']",1,5,1972,1972,1,1,0,0,0,False
Joey Heatherton,"['Gone' ""I'm Sorry""]",2,24,1972,1973,2,2,0,0,0,False
Michael Redway,['Good Morning'],1,4,1973,1973,1,1,0,0,0,False
Philly Devotions,"[""I Just Can't Say Goodbye""]",1,2,1975,1975,1,1,0,0,0,False
Al Downing,"[""I'll Be Holding On""]",1,4,1975,1975,1,1,0,0,0,False
Shirley Brown,"[""It Ain't No Fun"" 'Woman To Woman']",2,16,1974,1975,2,2,0,0,0,False
Sundown Company,['Norma Jean Wants To Be A Movie Star'],1,5,1976,1976,1,1,0,0,0,False
Ellison Chase,"[""Let's Rock""]",1,3,1976,1976,1,1,0,0,0,False
Dr. Buzzard's Original Savannah Band,"[""I'll Play The Fool"" 'Whispering/Cherchez La Femme/Se Si Bon']",2,23,1976,1977,2,2,0,0,0,False
Whirlwind,['Full Time Thing (Between Dusk And Dawn)'],1,4,1976,1976,1,1,0,0,0,False
The Glitter Band,['Makes You Blind'],1,6,1976,1976,1,1,0,0,0,False
Bunny Sigler,"['Let Me Party With You (Part 1) (Party, Party, Party)'
 ""Lovey Dovey/You're So Fine"" 'Let The Good Times Roll & Feel So Good'
 ""Tossin' And Turnin'""]",4,28,1967,1978,3,12,0,0,0,False
Together? (Soundtrack) Featuring Jackie DeShannon,"[""I Don't Need You Anymore""]",1,5,1980,1980,1,1,0,0,0,True
Zapp,['More Bounce To The Ounce Part I'],1,7,1980,1980,1,1,0,0,0,False
Jackie English,['Once A Night'],1,4,1980,1981,2,2,0,0,0,False
McGuffey Lane,"[""Long Time Lovin' You"" 'Start It All Over']",2,10,1981,1982,2,2,0,0,0,False
Siedah Garrett,['K.I.S.S.I.N.G.'],1,1,1988,1988,1,1,0,0,0,False
Mica Paris,['My One Temptation'],1,4,1989,1989,1,1,0,0,0,False
Cartouche,['Feel The Groove'],1,10,1991,1991,1,1,0,0,0,False
Troy Newman,['Love Gets Rough'],1,4,1991,1991,1,1,0,0,0,False
Coro,['My Fallen Angel'],1,11,1991,1991,1,1,0,0,0,False
Jinny,['Keep Warm'],1,2,1991,1991,1,1,0,0,0,False
The Storm,"[""I've Got A Lot To Learn About Love""]",1,20,1991,1992,2,2,0,0,0,False
Laissez Faire,['In Paradise'],1,17,1991,1992,2,2,0,0,0,False
Clubland,['Hold On (Tighter To Love)'],1,12,1992,1992,1,1,0,0,0,False
L.A. Style,['James Brown Is Dead'],1,20,1992,1992,1,1,0,0,0,False
Saigon Kick,['Love Is On The Way'],1,22,1992,1993,2,2,0,0,0,False
2 Unlimited,['Get Ready For This' 'Twilight Zone'],2,54,1992,1995,3,4,0,0,0,False
New Born,['Falling In Love'],1,2,1993,1993,1,1,0,0,0,False
Sagat,['Funk Dat/Why Is It?'],1,17,1994,1994,1,1,0,0,0,False
Sweet Sable,"['Old Times\' Sake (From ""Above The Rim"")']",1,3,1994,1994,1,1,0,0,0,False
Ini Kamoze,"['Here Comes The Hotstepper (From ""Ready To Wear"")'
 'Listen Me Tic (Woyoi)']",2,35,1994,1995,2,2,2,11,15,False
Jeff Carson,['Not On Your Love'],1,2,1995,1995,1,1,0,0,0,False
Men Of Vizion,['House Keeper'],1,11,1996,1996,1,1,0,0,0,False
CRUSH,['Jellyhead'],1,21,1996,1997,2,2,0,0,0,False
Mercedes Featuring Master P,"[""It's Your Thing""]",1,4,1999,1999,1,1,0,0,0,True
Mos Def & Pharoahe Monch Featuring Nate Dogg,['Oh No'],1,12,2000,2001,2,2,0,0,0,True
Jay-Z Featuring R. Kelly,['Guilty Until Proven Innocent'],1,8,2001,2001,1,1,0,0,0,True
Redman Featuring DJ Kool,"[""Let's Get Dirty (I Can't Get In Da Club)""]",1,2,2001,2001,1,1,0,0,0,True
David Banner Featuring Lil' Flip,['Like A Pimp'],1,20,2003,2003,1,1,0,0,0,True
Big Tymers Featuring R. Kelly,['Gangsta Girl'],1,9,2003,2004,2,2,0,0,0,True
Angel City Featuring Lara McAllen,['Love Me Right (Oh Sheila)'],1,4,2004,2004,1,1,0,0,0,True
Akon Featuring Styles P.,['Locked Up'],1,27,2004,2004,1,1,0,0,7,True
Mynt Featuring Kim Sozzi,['How Did You Know?'],1,2,2004,2004,1,1,0,0,0,True
Aventura Featuring Don Omar,['Ella Y Yo'],1,1,2005,2005,1,1,0,0,0,True
Yeah Yeah Yeahs,['Gold Lion' 'Maps'],2,16,2004,2006,2,3,0,0,0,False
Pharrell Featuring Kanye West,['Number One'],1,3,2006,2006,1,1,0,0,0,True
Hellogoodbye,['Here (In Your Arms)'],1,21,2006,2007,2,2,0,0,0,False
Santana Featuring Chad Kroeger,['Into The Night'],1,21,2007,2008,2,2,0,0,0,True
Serj Tankian,['Empty Walls'],1,1,2007,2007,1,1,0,0,0,False
Cherish Featuring Yung Joc,['Killa'],1,15,2008,2008,1,1,0,0,0,True
David Banner Featuring Chris Brown,['Get Like Me'],1,21,2008,2008,1,1,0,0,0,True
Nas Featuring Keri Hilson,['Hero'],1,1,2008,2008,1,1,0,0,0,True
Owl City,['Fireflies' 'Vanilla Twilight'],2,36,2009,2010,2,2,2,12,15,False
Brooks & Dunn Featuring Billy Gibbons,['Honky Tonk Stomp'],1,3,2009,2009,1,1,0,0,0,True
Shiny Toy Guns,['Major Tom'],1,1,2010,2010,1,1,0,0,0,False
The Ready Set,['Love Like Woe'],1,21,2010,2011,2,2,0,0,0,False
Mindless Behavior Featuring Diggy,['Mrs. Right'],1,10,2011,2011,1,1,0,0,0,True
Drake Featuring Nicki Minaj,['Make Me Proud' 'Up All Night'],2,22,2010,2012,3,3,0,0,1,True
Wale Featuring Kid Cudi,['Focused'],1,1,2011,2011,1,1,0,0,0,True
Samantha Barks,['On My Own'],1,1,2013,2013,1,1,0,0,0,False
Blake Shelton Featuring Gwen Sebastian,['My Eyes'],1,16,2014,2014,1,1,0,0,0,True
Kiesza,['Hideaway'],1,14,2014,2014,1,1,0,0,0,False
Snootie Wild Featuring K Camp,['Made Me'],1,3,2014,2014,1,1,0,0,0,True
LOCASH,['I Love This Life' 'I Know Somebody'],2,29,2015,2016,2,2,0,0,0,False
Luke Bryan Featuring Karen Fairchild,['Home Alone Tonight'],1,19,2015,2016,2,2,0,0,0,True
"Kevin Gates Featuring Trey Songz, Ty Dolla Sign & Jamie Foxx",['Jam'],1,1,2016,2016,1,1,0,0,0,True
ASAP Ferg Featuring Future,['New Level'],1,3,2016,2016,1,1,0,0,0,True
Big Sean Featuring Jeremih,['Light'],1,1,2017,2017,1,1,0,0,0,True
Meek Mill Featuring Lil Uzi Vert,['F**k That Check Up'],1,1,2017,2017,1,1,0,0,0,True
Becky G Featuring Bad Bunny,['Mayores'],1,17,2017,2018,2,2,0,0,0,True
Lil Mosey,['Kamikaze' 'Noticed'],2,11,2018,2018,1,1,0,0,0,False
Ali Gatie,"[""It's You""]",1,15,2019,2019,1,1,0,0,0,False
Fat Joe & Dre Featuring Eminem & Mary J. Blige,['Lord Above'],1,1,2019,2019,1,1,0,0,0,True
The Teddy Bears,"[""I Don't Need You Anymore"" 'Oh Why' 'To Know Him, Is To Love Him']",3,26,1958,1959,2,2,3,10,11,False
Rocky Olson,['Kansas City'],1,4,1959,1959,1,1,0,0,0,False
"Frank Sinatra ""and a bunch of kids""",['High Hopes'],1,17,1959,1959,1,1,0,0,0,False
Jerry Keller,['Here Comes Summer'],1,13,1959,1959,1,1,0,0,0,False
Floyd Robinson,"[""Makin' Love""]",1,18,1959,1959,1,1,0,0,0,False
Marvin Rainwater,['Half-Breed'],1,7,1959,1959,1,1,0,0,0,False
Ralph DeMarco,['Old Shep'],1,2,1959,1959,1,1,0,0,0,False
Rod Lauren,['If I Had A Girl'],1,10,1959,1960,2,2,0,0,0,False
The Viscounts,['Harlem Nocturne' 'Night Train' 'Wabash Blues'],3,41,1959,1966,5,8,0,0,0,False
100 Strings and Jono (Choir of 40 Voices),['I Need You Now'],1,1,1960,1960,1,1,0,0,0,False
Shirley and Lee,"[""I've Been Loved Before""]",1,6,1960,1960,1,1,0,0,0,False
The Tree Swingers,['Kookie Little Paradise'],1,6,1960,1960,1,1,0,0,0,False
Van Dykes,['Gift Of Love'],1,2,1961,1961,1,1,0,0,0,False
Paul Dino,['Ginnie Bell'],1,12,1961,1961,1,1,0,0,0,False
The Delacardos,['Hold Back The Tears'],1,5,1961,1961,1,1,0,0,0,False
Johnny Maestro with The Coeds,['Mr. Happiness'],1,5,1961,1961,1,1,0,0,0,False
