Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Glee Cast,"[""Don't Stop Believin'"" 'Teenage Dream' 'Rumour Has It / Someone Like You'
 'Dog Days Are Over' 'Telephone' 'Somebody That I Used To Know'
 'Billionaire' ""Start Me Up / Livin' On A Prayer"" 'Sweet Caroline'
 'Raise Your Glass' 'One Of Us' 'Blackbird'
 'Stop! In The Name Of Love / Free Your Mind'
 ""(I've Had) The Time Of My Life"" 'Pretending' 'River Deep, Mountain High'
 'One Love (People Get Ready)' 'Somewhere Only We Know' 'Over The Rainbow'
 'Born This Way' 'Silly Love Songs' 'Take A Bow' 'Baby' 'Sing'
 'Only The Good Die Young' ""Don't Go Breaking My Heart""
 'Take Me Or Leave Me' 'Survivor / I Will Survive'
 ""Don't Rain On My Parade"" 'Stronger' 'Baby One More Time'
 'Blame It (On The Alcohol)' ""Baby, It's Cold Outside"" 'Perfect'
 'Loser Like Me' ""Any Way You Want It/Lovin' Touchin' Squeezin'""
 'P.Y.T. (Pretty Young Thing)' 'Pure Imagination' 'One' 'Beautiful'
 'Animal' ""Don't Stand So Close To Me / Young Girl"" 'Black Or White'
 'Papa Can You Hear Me?' 'Cough Syrup' 'Songbird' 'A House Is Not A Home'
 'Taking Chances' 'Candles' 'Shake It Out' 'Get It Right'
 'Empire State Of Mind' 'I Feel Pretty / Unpretty' ""Jessie's Girl"" 'Lucky'
 'Hey, Soul Sister' ""It's My Life / Confessions Part II"" 'Gives You Hell'
 'Marry You' 'Light Up The World' 'Firework' 'Friday'
 'I Want To Hold Your Hand' 'Faithfully' 'Listen'
 'Halo / Walking On Sunshine' 'Just The Way You Are' 'Go Your Own Way'
 'Happy Days Are Here Again / Get Happy' 'Hello Goodbye'
 ""Don't You Want Me"" 'Jar Of Hearts' 'Lean On Me'
 'My Life Would Suck Without You' ""I'm A Slave 4 U"" 'Misery'
 'Hell To The No' 'Fix You' 'Keep Holding On' 'Me Against The Music'
 'Fat Bottomed Girls' 'Human Nature' 'Fly / I Believe I Can Fly'
 'For Good' 'Girls Just Want To Have Fun' 'Losing My Religion'
 ""Moves Like Jagger / Jumpin' Jack Flash"" 'The Boy Is Mine' 'Beth'
 'Bridge Over Troubled Water' 'Dancing Queen' 'Somewhere'
 'Borderline / Open Your Heart' 'Another One Bites The Dust'
 'Bills, Bills, Bills' ""Don't Stop"" 'As If We Never Said Goodbye' 'Bad'
 'Safety Dance' 'Back To Black' 'Last Christmas' 'No Air'
 ""Isn't She Lovely"" ""It's Not Unusual"" 'How Will I Know'
 'Hello, I Love You' 'I Kissed A Girl' 'Imagine' 'Good Vibrations'
 'Need You Now' ""I'm Not Gonna Teach Your Boyfriend To Dance With You""
 'Last Friday Night' ""I'll Stand By You"" ""Here's To Us"" 'Ice Ice Baby'
 'I Look To You' 'Man In The Mirror' 'Endless Love'
 ""I Can't Go For That / You Make My Dreams"" 'Lady Is A Tramp'
 'Never Going Back Again' 'I Love New York / New York, New York' 'Kiss'
 'Make You Feel My Love' 'Hit Me With Your Best Shot / One Way Or Another'
 ""I'm The Only One"" 'Like A Virgin' 'I Will Always Love You'
 'Glad You Came' 'Let Me Love You (Until You Learn To Love Yourself)'
 ""It's Not Right But It's Okay"" 'Loser' 'Le Jazz Hot' 'My Man'
 ""It's A Man's, Man's Man's World"" ""It's Time""
 'The First Time Ever I Saw Your Face' 'Somebody To Love' 'Bad Romance'
 'Tell Me Something Good' 'Sing!' ""She's Not There"" 'All By Myself' 'ABC'
 'Summer Nights' '4 Minutes' 'Constant Craving' 'Run The World (Girls)'
 'Red Solo Cup' ""Do They Know It's Christmas?"" 'Stereo Hearts'
 'Bust A Move' ""Rose's Turn"" ""As Long As You're There""
 ""And I Am Telling You I'm Not Going""
 ""Don't Cry For Me Argentina (Lea Michele Version)"" 'The Only Exception'
 'The Scientist' 'Thriller / Heads Will Roll' 'Hungry Like The Wolf / Rio'
 'Rehab' 'Defying Gravity' 'Poker Face' 'Tik Tok' 'You And I / You And I'
 ""You Can't Always Get What You Want"" ""You Can't Stop The Beat""
 'When I Get You Alone' 'Without You' 'Time Warp' 'To Sir With Love'
 'Toxic' 'True Colors' ""U Can't Touch This"" 'Uptown Girl' 'Valerie'
 ""Wanna Be Startin' Somethin'"" 'We Are Young' 'We Found Love'
 'We Got The Beat' 'Welcome Christmas' ""What Doesn't Kill You (Stronger)""
 'What I Did For Love']",183,223,2009,2013,5,5,0,1,3,False
Katy Perry Featuring Skip Marley,['Chained To The Rhythm'],1,15,2017,2017,1,1,0,1,2,True
Harry Styles,"['Sign Of The Times' 'Adore You' 'Lights Up' 'Falling' 'Golden' 'Cherry'
 'Sweet Creature' 'She' 'Watermelon Sugar']",9,29,2017,2019,2,3,0,1,1,False
Kendrick Lamar,"['DNA.' 'Pride.' 'Swimming Pools (Drank)' 'Alright' 'Blood.' 'Humble.'
 'Element.' 'Feel.' 'i' 'Lust.' 'Fear.' 'God.' 'King Kunta'
 ""Bitch, Don't Kill My Vibe"" 'The Blacker The Berry' 'Duckworth.'
 'The Heart Part 4' 'Black Panther' 'Yah.' 'Untitled 02 l 06.23.2014.'
 'Untitled 07 l Levitate']",21,175,2012,2018,7,7,1,12,17,False
The Weeknd,"['Call Out My Name' 'Blinding Lights' ""Can't Feel My Face"" 'Reminder'
 'Six Feet Under' 'Acquainted' 'Party Monster' 'Die For You' ""Rockin'""
 'Secrets' 'Privilege' 'Tell Your Friends' 'Real Life' 'Attention'
 'A Lonely Night' 'Heartless' 'Earned It (Fifty Shades Of Grey)'
 'Ordinary Life' 'Shameless' 'False Alarm' 'Nothing Without You'
 'Love To Lay' 'The Hills' 'Often' 'In The Night' 'Where You Belong'
 'Wicked Games' 'True Colors' 'Try Me' 'Wasted Times']",30,309,2012,2019,8,8,10,39,60,False
Travis Scott,"['Sicko Mode' 'Stargazing' 'Carousel' 'R.I.P Screw'
 'Stop Trying To Be God' '5% Tint' ""Can't Say"" 'Skeletons' 'Astrothunder'
 'HIGHEST IN THE ROOM' 'Butterfly Effect' 'Antidote' 'Coffee Bean'
 'No Bystanders' 'NC-17' 'Houstonfornication' 'Goosebumps'
 'Beibs In The Trap' 'Yosemite' 'Who? What!' 'Wake Up']",21,200,2015,2019,5,5,2,18,36,False
Dan + Shay & Justin Bieber,"['10,000 Hours']",1,11,2019,2019,1,1,0,1,7,False
Michael Jackson & Janet Jackson,['Scream/Childhood'],1,17,1995,1995,1,1,0,2,6,False
The Notorious B.I.G.,"['One More Chance/Stay With Me' 'Big Poppa/Warning' 'Hypnotize'
 'Going Back To Cali' 'Juicy/Unbelievable']",5,103,1994,1998,4,5,3,17,25,False
Spice Girls,"[""Say You'll Be There"" '2 Become 1' 'Spice Up Your Life' 'Stop' 'Goodbye'
 'Headlines (Friendship Never Ends)' 'Too Much' 'Wannabe']",8,139,1997,2007,4,11,4,21,34,False
