SongID,year,comboWeek,comboInstance,maxPose,top1,top5,top10
Come With Me NowKONGOS,2014,21,1,31,0,0,0
A Shoulder To Cry OnTommy Page,1989,20,1,29,0,0,0
Slippin' Into DarknessWar,1972,22,1,16,0,0,0
Baby I LiedDeborah Allen,1983,21,1,26,0,0,0
Ordinary LifeChad Brock,1999,17,1,39,0,0,0
"Pop ThatFrench Montana Featuring Rick Ross, Drake, Lil Wayne",2012,22,1,36,0,0,0
Caught Up In The RaptureAnita Baker,1986,18,1,37,0,0,0
Cowboys Like UsGeorge Strait,2003,19,1,38,0,0,0
OnlineBrad Paisley,2007,20,1,39,0,0,0
Shotgun RiderTim McGraw,2014,20,1,38,0,0,0
Rock Around The ClockBill Haley And His Comets,1974,14,1,39,0,0,0
Ready To RunDixie Chicks,1999,18,1,39,0,0,0
Slow And SexyShabba Ranks (Featuring Johnny Gill),1992,19,1,33,0,0,0
"All I Do Is WinDJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010,24,1,24,0,0,0
As She's Walking AwayZac Brown Band Featuring Alan Jackson,2010,20,1,32,0,0,0
Dirt On My BootsJon Pardi,2016,20,1,37,0,0,0
Barbara AnnThe Beach Boys,1966,11,1,2,0,3,4
Catch Us If You CanThe Dave Clark Five,1965,11,1,4,0,3,4
Brilliant DisguiseBruce Springsteen,1987,16,1,5,0,1,5
Teen Age IdolRick Nelson,1962,11,1,5,0,1,4
One Has My Name (The Other Has My Heart)Barry Young,1965,11,1,13,0,0,0
Bless YouTony Orlando,1961,12,1,15,0,0,0
PepeDuane Eddy His Twangy Guitar And The Rebels,1960,12,1,18,0,0,0
But You Know I Love YouThe First Edition,1969,11,1,19,0,0,0
Shape Of Things To ComeMax Frost And The Troopers,1968,12,1,22,0,0,0
All In My Head (Flex)Fifth Harmony Featuring Fetty Wap,2016,18,1,24,0,0,0
American City SuiteCashman & West,1972,11,1,27,0,0,0
Over ItKatharine McPhee,2007,16,1,29,0,0,0
Stay The NightIMx,1999,20,1,23,0,0,0
Outside TodayYoungBoy Never Broke Again,2018,19,1,31,0,0,0
A Letter To MyselfThe Chi-lites,1973,11,1,33,0,0,0
SwangRae Sremmurd,2017,26,1,26,0,0,0
"Sunrise, Sunburn, SunsetLuke Bryan",2018,16,1,35,0,0,0
"Bling BlingB.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",1999,19,1,36,0,0,0
That's When I Love YouPhil Vassar,2002,20,1,37,0,0,0
SeptemberDaughtry,2010,20,1,36,0,0,0
Backyard BoogieMack 10,1997,20,1,37,0,0,0
S.E.X.Lyfe Jennings,2006,20,1,37,0,0,0
Consider Me GoneReba,2009,19,1,38,0,0,0
StudioScHoolboy Q Featuring BJ The Chicago Kid,2014,20,1,38,0,0,0
RuffneckMC Lyte,1993,20,1,35,0,0,0
Save Up All Your TearsCher,1991,20,1,37,0,0,0
Anyone ElseCollin Raye,1999,20,1,37,0,0,0
Red Rag TopTim McGraw,2002,20,1,40,0,0,0
That's How Heartaches Are MadeBaby Washington,1963,12,1,40,0,0,0
